Date,Distance walking / running(mi),Flights climbed(count),Step count(count)
2/17/2021,2.82,10,6189
2/18/2021,3.135,8,6857
2/19/2021,2.162,7,5174.829
2/20/2021,1.846,8,4320.171
2/21/2021,0.774,1,1883
2/22/2021,3.501,15,7392
2/23/2021,2.238,8,5244
2/24/2021,2.249,7,5651
2/25/2021,2.352,12,5644
2/26/2021,2.64,6,6217
2/27/2021,1.489,7,3454
2/28/2021,2.414,10,5683
3/1/2021,1.87,5,4300
3/2/2021,1.761,9,4016
3/3/2021,3.684,2,8242
3/4/2021,1.584,8,3711
3/5/2021,3.342,11,7624
3/6/2021,3.423,9,8209.67
3/7/2021,4.539,12,11262.33
3/8/2021,2.709,10,6506
3/9/2021,1.475,8,3549
3/10/2021,3.12,6,7217
3/11/2021,2.669,4,6460
3/12/2021,6.021,10,14422
3/13/2021,5.442,8,12343.058
3/14/2021,4.443,12,10363.942
3/15/2021,3.291,7,7578
3/16/2021,3.505,10,8371
3/17/2021,3.616,9,8671
3/18/2021,2.446,8,5887
3/19/2021,4.175,13,9628
3/20/2021,3.777,18,8990
3/21/2021,5.366,13,12057
3/22/2021,2.84,7,6359
3/23/2021,3.54,8,7981
3/24/2021,2.982,7,6765
3/25/2021,2.467,7,5710
3/26/2021,3.882,10,9295.18
3/27/2021,5.157,11,11670.82
3/28/2021,2.519,9,5674
3/29/2021,2.533,8,5700
3/30/2021,2.863,13,6078
3/31/2021,3.006,10,6998.47
4/1/2021,1.107,5,2598.53
4/2/2021,3.895,13,8942
4/3/2021,3.113,9,7016
4/4/2021,2.257,7,5016
4/5/2021,4.222,11,9332
4/6/2021,3.807,13,8635
4/7/2021,2.978,9,6730
4/8/2021,2.246,5,5417
4/9/2021,0.763,5,1897
4/10/2021,2.875,7,6522
4/11/2021,1.763,6,4082
4/12/2021,2.703,6,6323
4/13/2021,3.142,10,6907
4/14/2021,1.569,2,3594
4/15/2021,3.118,8,7061
4/16/2021,2.075,7,4568
4/17/2021,2.845,5,6488
4/18/2021,4.834,7,11059
4/19/2021,1.995,10,4616
4/20/2021,2.678,8,6305
4/21/2021,3.26,12,7554
4/22/2021,3.537,7,7889
4/23/2021,1.976,10,4801
4/24/2021,2.746,12,6307
4/25/2021,1.965,8,4454
4/26/2021,1.694,5,3838
4/27/2021,2.64,7,5979
4/28/2021,3.099,9,6820
4/29/2021,4.288,17,9464
4/30/2021,2.12,7,4759
5/1/2021,1.942,5,4512
5/2/2021,2.407,5,5598
5/3/2021,3.589,9,7874
5/4/2021,1.919,4,4413
5/5/2021,4.023,7,9303
5/6/2021,6.265,13,14046
5/7/2021,3.565,11,7859
5/8/2021,1.422,13,3195
5/9/2021,2.572,14,6377
5/10/2021,0.876,6,2017
5/11/2021,1.373,5,3007
5/12/2021,0.705,9,1551
5/13/2021,0.593,7,1359
5/14/2021,0.735,10,1788
5/15/2021,1.989,7,4705
5/16/2021,0.815,8,1854
5/17/2021,0.945,10,2132
5/18/2021,0.42,7,960
5/19/2021,0.53,7,1190
5/20/2021,0.728,8,1656
5/21/2021,1.275,7,3162.315
5/22/2021,3.434,20,8551.685
5/23/2021,0.555,9,1204
5/24/2021,0.211,3,491
5/25/2021,1.291,4,3241
5/26/2021,1.366,10,3149
5/27/2021,1.058,2,2666
5/28/2021,1.238,8,2833
5/29/2021,1.155,8,2549
5/30/2021,0.239,3,541
5/31/2021,0.501,9,1144
6/1/2021,1.046,5,2509
6/2/2021,0.444,6,1061
6/3/2021,1.195,5,2921
6/4/2021,1.577,7,3751
6/5/2021,0.69,10,1647
6/6/2021,0.29,6,656
6/7/2021,0.377,4,829.232
6/8/2021,0.808,5,1952.768
6/9/2021,0.36,8,814
6/10/2021,1.046,2,2557
6/11/2021,1.585,5,3873
6/12/2021,2.072,21,4877
6/13/2021,0.673,6,1564
6/14/2021,0.344,6,798
6/15/2021,1.198,2,2917
6/16/2021,1.085,7,2516
6/17/2021,1.133,4,2860
6/18/2021,1.177,3,2769
6/19/2021,1.261,13,3013
6/20/2021,0.619,3,1599
6/21/2021,0.866,9,1759
6/22/2021,1.392,9,3358
6/23/2021,0.578,6,1299
6/24/2021,1.075,3,2625
6/25/2021,1.44,7,3446
6/26/2021,0.349,3,775
6/27/2021,1.737,6,4147
6/28/2021,0.652,5,1487
6/29/2021,1.461,9,3510
6/30/2021,0.337,4,773
7/1/2021,0.686,3,1503
7/2/2021,0.716,3,1674
7/3/2021,0.279,4,651
7/4/2021,0.477,1,1135
7/5/2021,1.535,2,3607
7/6/2021,1.06,2,2565
7/7/2021,0.35,4,834
7/8/2021,0.82,5,2037
7/9/2021,1.164,3,2725
7/10/2021,1.288,11,3095
7/11/2021,0.352,4,803
7/12/2021,0.67,5,1517
7/13/2021,1.226,8,2991
7/14/2021,0.618,4,1525
7/15/2021,1.035,2,2560
7/16/2021,0.833,5,1992
7/17/2021,0.933,2,2400
7/18/2021,2.79,15,6556
7/19/2021,1.347,10,3070
7/20/2021,1.442,4,3470
7/21/2021,1.152,7,2773
7/22/2021,1.541,5,3507
7/23/2021,1.531,3,3649
7/24/2021,0.95,7,2232
7/25/2021,0.786,5,1850
7/26/2021,1.129,8,2591
7/27/2021,1.142,3,2736
7/28/2021,0.417,8,925
7/29/2021,1.575,10,3857
7/30/2021,1.515,7,3622
7/31/2021,1.372,8,3452
