Day of Week,Dislikes
Friday,0.25
Monday,0.20754716981132076
Saturday,0.28846153846153844
Sunday,0.20754716981132076
Thursday,0.3076923076923077
Tuesday,0.15384615384615385
Wednesday,0.2692307692307692
